Wijnsoort,Gerecht,Ingrediënten,Afkomst
Pinot Grigio,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Chenin Blanc,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Gamay,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Bordeaux-style Red Blend,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Aglianico,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Chardonnay,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Garnacha,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Sangiovese,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Grenache,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Port,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Pinot Noir,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Garganega,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Cabernet Franc,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Gamay,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Sparkling Blend,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Glera,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Rhône-style White Blend,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Riesling,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Riesling,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Zinfandel,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Viognier,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Gewürztraminer,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Grüner Veltliner,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Chenin Blanc,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Verdejo,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Carmenère,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Grenache,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Moscato,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Carmenère,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Sauvignon,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Riesling,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Albariño,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Sparkling Blend,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Portuguese Red,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Portuguese White,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Sauvignon,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Grüner Veltliner,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Garganega,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Rhône-style Red Blend,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Melon,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Pinot Noir,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Melon,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Carmenère,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Malbec,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Viognier,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Albariño,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Sangiovese,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Sparkling Blend,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Rhône-style Red Blend,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Shiraz,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Viognier,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Riesling,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Nero d'Avola,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Pinot Blanc,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Port,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Rhône-style Red Blend,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Red Blend,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Red Blend,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Rhône-style Red Blend,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Garnacha,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Nebbiolo,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Malbec,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Tempranillo Blend,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Pinot Gris,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Moscato,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Shiraz,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Rhône-style Red Blend,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Barbera,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Verdejo,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Nero d'Avola,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Pinot Gris,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Pinot Blanc,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Malbec,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Port,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Albariño,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Red Blend,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
White Blend,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Syrah,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Nebbiolo,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Chenin Blanc,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Petite Sirah,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Rhône-style Red Blend,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Petite Sirah,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Grüner Veltliner,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Rhône-style Red Blend,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Rosé,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Cabernet Sauvignon,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Port,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Cabernet Franc,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Gewürztraminer,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Sauvignon Blanc,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Sparkling Blend,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Port,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Rhône-style Red Blend,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
"Corvina, Rondinella, Molinara",Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Syrah,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Aglianico,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Zinfandel,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Gewürztraminer,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Red Blend,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Bordeaux-style Red Blend,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Pinot Blanc,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Tempranillo Blend,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Pinot Grigio,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Riesling,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Red Blend,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Aglianico,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Pinot Grigio,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Zinfandel,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Garnacha,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Barbera,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Verdejo,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Tempranillo Blend,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Verdejo,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Rhône-style Red Blend,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Sauvignon,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Grüner Veltliner,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Sparkling Blend,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Gewürztraminer,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Rhône-style Red Blend,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Sauvignon,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Aglianico,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Sauvignon Blanc,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Tempranillo,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Cabernet Franc,Moules frites,"mosselen, ui, selderij, friet",Belgisch
White Blend,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Sangiovese,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Tempranillo Blend,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Red Blend,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
"Corvina, Rondinella, Molinara",Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Pinot Gris,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Grenache,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Glera,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Viognier,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Tempranillo,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Pinot Gris,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Zinfandel,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Rhône-style White Blend,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Melon,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Gamay,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Garnacha,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Garganega,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Sparkling Blend,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Sauvignon Blanc,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Rosé,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Bordeaux-style White Blend,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Merlot,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Portuguese White,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Cabernet Sauvignon,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Gewürztraminer,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Aglianico,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Glera,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Rhône-style White Blend,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Albariño,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
"Corvina, Rondinella, Molinara",Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Rosé,Moules frites,"mosselen, ui, selderij, friet",Belgisch
White Blend,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Gewürztraminer,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Gamay,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Bordeaux-style White Blend,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Tempranillo,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Aglianico,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Portuguese Red,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Bordeaux-style White Blend,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Rhône-style White Blend,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Barbera,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Tempranillo,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Merlot,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Nero d'Avola,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Barbera,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Grüner Veltliner,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Syrah,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Garnacha,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Bordeaux-style White Blend,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Pinot Blanc,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Gamay,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Sauvignon,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Verdejo,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Aglianico,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Tempranillo,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Rosé,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Rhône-style White Blend,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Verdejo,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Riesling,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Petite Sirah,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Tempranillo Blend,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Viognier,Tortilla Española,"aardappelen, ui, olijfolie, eieren",Spaans
Aglianico,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Pinot Noir,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Pinot Grigio,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Pinot Noir,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Bordeaux-style Red Blend,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Rhône-style Red Blend,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Glera,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Sangiovese Grosso,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Melon,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Grenache,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Gewürztraminer,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Chenin Blanc,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Sauvignon Blanc,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Garganega,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Portuguese Red,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Garganega,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Shiraz,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Garganega,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Riesling,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Sangiovese Grosso,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Petite Sirah,Pizza Margherita,"pizzadeeg, tomatensaus, mozzarella, basilicum",Italiaans
Rhône-style Red Blend,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
Champagne Blend,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
"Corvina, Rondinella, Molinara",Moules frites,"mosselen, ui, selderij, friet",Belgisch
Portuguese White,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Riesling,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Chenin Blanc,Osso buco,"kalfschenkel, witte wijn, wortel, selderij",Italiaans
White Blend,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Shiraz,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Pinot Blanc,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Sparkling Blend,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Bordeaux-style White Blend,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Barbera,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Portuguese White,Ratatouille,"aubergine, courgette, paprika, tomaat, knoflook",Frans
Red Blend,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Gamay,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Albariño,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Bordeaux-style White Blend,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Pinot Gris,Bruschetta,"stokbrood, tomaat, basilicum, olijfolie",Italiaans
Pinot Blanc,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Gamay,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Sparkling Blend,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Grenache,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Aglianico,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Pinot Gris,Vitello tonnato,"kalfsvlees, tonijnsaus, kappertjes",Italiaans
Sauvignon Blanc,Paella,"rijst, saffraan, kip, garnalen, mosselen, paprika",Spaans
Petite Sirah,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Garganega,Spaghetti carbonara,"spaghetti, spek, eidooiers, Parmezaan, peper",Italiaans
Cabernet Franc,Bouillabaisse,"vis, schaaldieren, venkel, saffraan",Frans
Grenache,Moules frites,"mosselen, ui, selderij, friet",Belgisch
Portuguese White,Penne all'arrabbiata,"penne, tomaten, knoflook, chilipeper, peterselie",Italiaans
Pinot Noir,Lasagne,"lasagnebladen, gehakt, tomatensaus, béchamel, kaas",Italiaans
Syrah,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
Bordeaux-style White Blend,Tarte Tatin,"appels, bladerdeeg, suiker, boter",Frans
Carmenère,Boerenkool stamppot,"boerenkool, aardappelen, rookworst, spekjes",Nederlands
Nero d'Avola,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Red Blend,Coq au vin,"kip, rode wijn, ui, wortel, champignons",Frans
Garnacha,Risotto ai funghi,"risottorijst, paddenstoelen, Parmezaan, bouillon",Italiaans
Petite Sirah,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Syrah,Gazpacho,"tomaten, paprika, komkommer, knoflook, olijfolie",Spaans
Sauvignon,Quiche Lorraine,"bladerdeeg, spek, room, eieren, kaas",Frans
